Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2654;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;36474.66
MUNICIPIO DE NAVEGANTES;2021;2653;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;2236.80
MUNICIPIO DE NAVEGANTES;2021;2652;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;217.80
MUNICIPIO DE NAVEGANTES;2021;2651;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;293.30
MUNICIPIO DE NAVEGANTES;2021;2650;Ordinária;PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS LTDA;435.60
MUNICIPIO DE NAVEGANTES;2021;2649;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;1780.00
MUNICIPIO DE NAVEGANTES;2021;2648;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2647;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2646;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2645;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2644;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2643;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2642;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2641;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
