contaCodigo,contaDescricao,valorOrcado
4172101020000000000,Cota-Parte do Fundo de Participação dos Municípios,5115000.00
4172101050000000000,Cota-Parte do Imp. s/ a Propr. Territorial Rural,5300.00
4172101050000000000,Cota-Parte do Imp. s/ a Propr. Territorial Rural,2700.00
4172101050000000000,Cota-Parte do Imp. s/ a Propr. Territorial Rural,2000.00
4172101320000000000,"Cota-Parte Imp.s/Oper.Crédito, Câmbio e Seguro",37275.00
4172122700000000000,Cota-Parte do Fundo Especial do Petróleo - FEP,319500.00
4172135010000000000,Transferências do Salário-Educação,5500000.00
4172135020000000000,Transferências Diretas do FNDE referentes ao PDDE,11342.00
4172135030000000000,Transferências Diretas do FNDE referentes ao PNAE,1651400.00
4172135040000000000,Transferências Diretas do FNDE referentes ao PNATE,30000.00
4172136000000000000,Transf. Financ. ICMS - Desoner - L.C. Nº 87/96,53622.75
4172136000000000000,Transf. Financ. ICMS - Desoner - L.C. Nº 87/96,27317.25
4172136000000000000,Transf. Financ. ICMS - Desoner - L.C. Nº 87/96,20235.00
4172201010000000000,Cota-Parte do ICMS,16086825.00
4172201010000000000,Cota-Parte do ICMS,8195175.00
4172201010000000000,Cota-Parte do ICMS,6070500.00
4172201020000000000,Cota-Parte do IPVA,2822250.00
4172201020000000000,Cota-Parte do IPVA,1437750.00
4172201020000000000,Cota-Parte do IPVA,1065000.00
4172201040000000000,Cota-Parte do IPI sobre Exportação,254400.00
4172201040000000000,Cota-Parte do IPI sobre Exportação,129600.00
4172201040000000000,Cota-Parte do IPI sobre Exportação,96000.00
4172201130000000000,Cota-Parte da Contrib.Interv.no Domínio Econômico,20000.00
4172401000000000000,Transf. de Recursos do FUNDEB,40282230.49
4172401000000000000,Transf. de Recursos do FUNDEB,7672805.81
4176102000000000000,Transf. de Conv. da União Destin. Progr. Educação,56700.00
4176199000000000000,Outras Transferências de Convênios da União,56700.00
4176202000000000000,Transf. Conv. Estados Destin Programas de Educação,213000.00
4176299000000000000,Outras Transferências de Convênio dos Estados,56700.00
4191138000000000000,Multas/Juros de Mora  s/ o IPTU,30051.00
4191138000000000000,Multas/Juros de Mora  s/ o IPTU,15309.00
4191138000000000000,Multas/Juros de Mora  s/ o IPTU,11340.00
4191139000000000000,Multas/Juros de Mora s/ o ITBI,5644.50
4191139000000000000,Multas/Juros de Mora s/ o ITBI,2875.50
4191139000000000000,Multas/Juros de Mora s/ o ITBI,2130.00
4191140000000000000,Multas/Juros de Mora s/ o ISS,30051.00
4191140000000000000,Multas/Juros de Mora s/ o ISS,15309.00
4191140000000000000,Multas/Juros de Mora s/ o ISS,11340.00
4191198000000000000,Multas/Juros de Mora das Contrib de Melhoria,10650.00
4191199010000000000,Multas e Juros de Mora de Outros Tributos,10650.00
4191311000000000000,Multas/Juros de Mora Div. Ativ. s/ IPTU,603316.44
