contaCodigo,contaDescricao,valorArrecadado
4132104010127000000,"001 - XP NTN-B 760199 2035.05.15 - IPCA+7,310%",639113.33
4132104010130000000,202 - BRADESCO ALOCAÇÃO DINÂMICA FIC RF,531893.57
4132104010131000000,203 - BRADESCO PREMIUM FI RF REF DI,5053048.04
4132104010132000000,204 - CAIXA ALIANÇA TP FI RF CURTO PRAZO (Previdenciário 191),1728654.66
4132104010133000000,209 - BTG PACTUAL EXPLORER INSTITUCIONAL RENDA FIXA,1026147.86
4132104010134000000,206 - ITAÚ INSTITUCIONAL GLOBAL DINÂMICO FIC RF LP,113141.32
4132104010135000000,207 - RIO BRAVO ESTRATÉGICO IMA-B FI RENDA FIXA,367671.03
4132104010136000000,801 - CAIXA ALIANÇA TP FI RF CURTO PRAZO (Déficit Atuarial),2792144.73
4132104010144000000,"313 - BANCO XP - LF - IPCA+6,30% - 14.07.2025",165099.69
4132104010201000000,RENDA VARIÁVEL - RESIDUAL BETHA,27310989.61
4132104010221000000,531 - TARPON ANTLANTICUS INST RESP LTDA FIC AÇÕES,733973.68
4132104010228000000,591 - BANRISUL IT NOW IBOV CI - BOVV11,71946.26
4132104010229000000,592- BANRISUL IT NOW SPXI CI - SPXI11,53057.97
4132104010301000000,FUNDO IMOBILIÁRIO - RESIDUAL BETHA,54145.34
4132104010601000000,701 - CAIXA INDEXA BOLSA AMERICANA FIM LP,2138359.97
4133999010000000000,Outras delegações de serviços públicos - Principal,65355.00
4136101110000000000,Cessão do direito de operacionalização de pagamentos - poderes executivo e legislativo - Principal,7857000.00
4161101010100000000,Serviços Administrativos e Comerciais Gerais PM Bombeiros,882342.27
4161101010200000000,Serviços Agropecuários,50471.69
4161101010300000000,"Serviços de Captação, Adução, Tratamento, Reserva e Distribuição de Água",42967738.67
4161101019900000000,Outros Serviços Administrativos e Comerciais Gerais,1174829.30
4161102010000000000,Inscrição em concursos e processos seletivos - Principal,74945.00
4161103010000000000,"Serviços de registro, certificação e fiscalização - Principal",1253692.75
4162102010000000000,Serviços de transporte de passageiros ou mercadorias - Principal,1534969.04
4169999010100000000,Serviços de Cemitério,43.46
4169999019900000000,Outros Serviços,17271.49
4171151110000000000,Cota-parte do fundo de participação dos municípios - cota mensal - Principal,74399220.03
4171151210000000000,Cota-parte do fundo de participação dos municípios - cotas extraordinárias - Principal,9172080.73
4171152010000000000,Cota-parte do imposto sobre a propriedade territorial rural - Principal,99590.58
4171155010000000000,"Cota-parte do imposto sobre operações de crédito, câmbio e seguro, ou relativas a títulos ou valores mobiliários - comercialização do ouro - Principal",113474.02
4171252410000000000,Cota-parte do fundo especial do petróleo - fep - Principal,1320325.33
4171350110600000000,Recurso Centro de Atendimento Psicossocial - CAPS,359780.00
4171350110900000000,FAEC - Redução das filas de cirurgias (ELETIVAS),120067.34
4171350111800000000,Transferências de Recursos SUS - Atenção Primária - Agentes Comunitárias de Saúde,2841696.00
4171350112100000000,Incentivo Financeiro da APS - Atenção à Saúde Bucal,1331603.78
4171350112200000000,Implementação de Políticas para a Rede Alyne,102897.15
4171350112300000000,Incentivo Financeiro da APS - Equipes de Saúde da Família/ESF e Equipes de Atenção Primária/EAP,7320031.23
4171350112400000000,Incentivo Financeiro Para Atenção à Saúde Bucal,22806.94
4171350112500000000,Incentivo Financeiro da ASP - Componente Per Capita de Base Populacional,557033.04
4171350112600000000,Atenção Básica Emenda de Bancada Federal,1028420.00
4171350112700000000,Atenção Básica Emenda de Comissão Federal,100000.00
4171350112800000000,Recursos SUS Emendas Parlamentares Individual - Federal SAÚDE,272600.00
4171350112900000000,Recursos SUS Emendas Parlamentares de Bancada - Federal SAÚDE,200000.00
4171350210200000000,Serviço de Atendimento Móvel de Urgência - SAMU - Federal,341936.40
4171350210300000000,Recurso da Média e Alta Complexidade Ambulatorial - MAC - Federal,4011557.65
4171350210500000000,Leitos de Enfermaria Clinica de Retaguarda - MAC - Federal,258541.70
4171350310100000000,Incentivo Financeiro aos Municípios para a Vigilância Em Saúde - Despesas Diversas,281207.84
4171350310200000000,Incentivo Financeiro as Ações de Vigilância e Prevenção e Controle das DST/AIDS e Hepatites Virais,188992.40
4171350310500000000,Transferências aos Entes Federativos Para o Pagamento dos Vencimentos dos Agentes de Combate as Endemias,670956.00
4171350410300000000,Recursos Financ. a Transferir as Secretarias de Saúde Mun. Est. e do DF Para a Qualif. da Assist. Farmacêutica - Qualifar - SUS,18000.00
4171350410400000000,"Recursos Financeiros a Transferir Para Aquisição Pelas Secretarias de Saúde Dos Estados, Municípios e do Distrito Federal",717128.40
4171350510200000000,"Assistência Financeira Complementar aos Estados, DF e Municípios P/ o Pag. do Piso Salarial dos Profissionais da Enfermagem",1191713.65
4171350510300000000,Implementação da Segurança Alimentar e Nutricional na Saúde,32571.08
4171450010000000000,Transferências do salário-educação - Principal,11109597.36
4171452010000000000,Transferências referentes ao programa nacional de alimentação escolar - pnae - Principal,3045576.10
4171453010000000000,Transferências referentes ao programa nacional de apoio ao transporte do escolar - pnate - Principal,58597.31
4171552010000000000,Transferências de recursos de complementação da união ao FUNDEB - vaar - Principal,402424.80
4171553010000000000,Transferências de recursos do FUNDEB destinados à criação de matrículas em Eti- Principal,12665.30
4171650010103000000,Índice de Gestão Descentralizada - IGDBF,113786.48
4171650010151000000,Piso Fixo de Média Complexidade - PAEFI,72900.52
4171650010152000000,Piso Fixo de Média Complexidade - MSE,40095.29
4171650010153000000,Piso Fixo de Média Complexidade - ABORDAGEM SOCIAL,58926.47
4171650010154000000,Piso de Transição de Média Complexidade,8312.05
4171650010155000000,Programa do Piso de Alta Complexidade I - Criança/ Adolescente,45562.82
4171650010156000000,Serviço de Convivência e Fortalecimento de Vínculos,95053.86
4171650010157000000,Piso Básico Fixo,109771.46
4171957010200000000,Emendas Parlamentares Individuais da União - Incremento Temporário Atenção Primária a Saúde,500000.00
4171957010300000000,Emendas Parlamentares Individuais da União - Incremento Temporário ao custeio dos serviços de assistência hospitalar e ambulatorial,600000.00
4171999010000000000,Outras transferências de recursos da união e de suas entidades - Principal,274439.88
4172150010000000000,Cota-parte do ICMS - Principal,149877235.12
4172151010000000000,Cota-parte do IPVA - Principal,18106067.39
4172152010000000000,Cota-parte do IPI - municípios - Principal,1667994.76
4172153010000000000,Cota-parte da contribuição de intervenção no domínio econômico - Principal,86203.94
4172350010100000000,Recursos Piso de Atenção Básica - PAB - Estadual,35000.00
4172350010500000000,Recurso Farmácia Básica - Estadual,366637.44
4172350010600000000,Recurso Centro de Especialidades Odontológicas - CEO - Estadual,59800.00
4172350011100000000,Recurso ESF - Estratégia Saúde da Família e SB - Saúde Bucal - Estadual,1277800.00
4172350011200000000,Recurso Programa de Valorização dos Hospitais,1560000.00
4172350011300000000,Recurso Cirurgia Eletiva - Estadual,675227.23
4172451010000000000,Transferências de convênios dos estados destinadas a programas de educação - Principal,528365.02
4172499010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,700000.00
4172951010100000000,Transferências SUAS Estado - Beneficios Eventuais,155815.30
4172951010600000000,Transferências SUAS Estado - PROTEÇÃO SOCIAL BÁSICA,147570.11
4172951010900000000,Transferências SUAS Estado - INCETIVO GESTÃO MUNICIPAL,5992.90
4172951011000000000,Transferências SUAS Estado - PROTEÇÃO SOCIAL ESPECIAL,226710.57
4172999010100000000,Emendas Parlamentares Impositivas - Transferências Correntes do Estado,824091.22
4174199010000000000,Outras transferências de instituições privadas - Principal,1935807.38
4175150010000000000,Transferências de recursos do fundo de manutenção e desenvolvimento da educação básica e de valorização dos profissionais da educação - FUNDEB - Principal,170369231.17
4179199010000000000,Outras transferências de pessoas físicas - Principal,2043.27
4191101011000000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Militar,587820.57
4191101011100000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Civil,587820.56
4191101011200000000,Multas Previstas na Legislação de Trânsito Convênio Trânsito - Prefeitura,1917877.50
4191101019900000000,Outras Multas Previstas em Legislação Específica - Principal,175398.46
4191101020000000000,Multas previstas em legislação específica - Multas e Juros,2476.31
4191101030000000000,Multas previstas em legislação específica - Dívida Ativa,1076.77
4191101040000000000,Multas previstas em legislação específica - Dívida Ativa - Multas e Juros,1316.53
4191104010000000000,Multas previstas na legislação sobre defesa dos direitos difusos - Principal,15334.66
4191104030000000000,Multas previstas na legislação sobre defesa dos direitos difusos - Dívida Ativa,389.75
4191104040000000000,Multas previstas na legislação sobre defesa dos direitos difusos - Dívida Ativa - Multas e Juros,288.81
4191106110000000000,Multas administrativas por danos ambientais - Principal,3763.92
4191107030000000000,Multas Aplicadas Pelos Tribunais de Contas - Dívida Ativa,1182.70
4191107040000000000,Multas Aplicadas Pelos Tribunais de Contas - Multa e Juros de Mora da Divida Ativa,424.67
4191109010000000000,Multas e juros previstos em contratos - Principal,24039.21
4192206110000000000,Restituição de Despesas de Exercícios Anteriores - Principal,20354.08
4192206310000000000,Restituição de despesas primárias de exercícios anteriores - Principal,1431.04
4192206410000000000,Restituição de despesas financeiras de exercícios anteriores - Principal,170531.14
4192299010000000000,Outras restituições - Principal,25946.48
4199903010000000000,Compensações financeiras entre os regimes de previdência - Principal,9652739.60
4199912210000000000,Ônus de Sucumbência - Principal,1055978.14
4199999110000000000,Outras receitas administradas pela rfb - Principal,689627.09
4199999120000000000,Outras receitas administradas pela rfb - Multas e Juros de Mora,217396.44
4199999130000000000,Outras receitas administradas pela rfb - Dívida Ativa,673899.13
4199999140000000000,Outras receitas administradas pela rfb - Multas e Juros de Mora da Divida Ativa,1760967.64
4211201010000000000,Operações de crédito contratuais - mercado interno - Principal,38742237.38
4221301010000000000,Alienação de bens móveis e semoventes - Principal,340000.00
4241450010000000000,Transferências de convênios da união para o sistema único de saúde - SUS - Principal,2783622.00
4241451010000000000,Transferências de convênios da união destinadas a programas de educação - Principal,464804.01
4241951010000000000,Transferência especial da união - Principal,495000.00
4242299010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,3533217.71
4242999010100000000,Emendas Parlamentares Impositivas - Transferências de Capital do Estado,450000.00
4242999011299000000,Outras Transferências SUAS Estado Investimento,77201.68
4721502110000000000,Contribuição patronal - servidor civil ativo - Principal,32558860.56
4721550110000000000,Contribuição patronal - servidor civil - inativo - Principal,5379924.46
4721550210000000000,Contribuição patronal - servidor civil - pensionistas - Principal,848549.99
4761101010300000000,"Receitas Intra-Orçamentárias/Serviços de Captação,Adução,Tratamento...",277788.82
4799901010000000000,Aportes periódicos para amortização de déficit atuarial do regimes próprios de previdência e sistema de proteção social - Principal,4223467.56
9111250010000000000,Imposto sobre a propriedade predial e territorial urbana - Principal,-30254.37
9111250010000000001,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal - Renúncia,-17.78
9111250010000000002,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,-7793.68
9111250010000000003,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal - Descontos Concedidos,-3126938.71
9111250020000000001,Multas e Juros de Mora - Imposto sobre a Propriedade Predial e Territorial Urbana - Renúncia,-756.79
9111250020000000003,Multas e Juros de Mora - Imposto sobre a Propriedade Predial e Territorial Urbana - Descontos Concedidos,-494.11
9111250030000000001,Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana - Renúncia,-31.47
9111250040000000001,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana - Renúncia,-135.00
9111250040000000003,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre a Propriedade Predial e Territorial Urbana - Descontos Concedidos,-841671.47
9111253010000000002,Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal,-180750.00
9111253010000000003,Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal - Descontos Concedidos,-513.45
9111253020000000003,Multas e Juros de Mora -  Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Descontos Concedidos,-236.04
9111253030000000002,(D) Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis,-204833.77
9111253040000000003,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Transmissão de Bens Imóveis e de Direitos Reais sobre Imóveis - Descontos Concedidos,-1341.11
9111303410000000000,Imposto sobre a renda - retido na fonte - outros rendimentos - Principal,-220.75
9111451110000000001,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal - Renúncia,-0.43
9111451110000000002,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal,-17287.39
9111451120000000001,Multas e Juros de Mora - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Renúncia,-62.63
9111451130000000001,Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Renúncia,-2.14
9111451140000000001,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Renúncia,-24.30
9111451140000000003,Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Descontos Concedidos,-49156.33
9112101010100000001,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços - Renúncia",-0.61
9112101010100000002,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",-3368.30
9112101010200000001,Taxa de Licença para Execução de Obras - Renúncia,-0.01
9112101030000000001,"Dívida Ativa - Taxas de Inspeção, Controle e Fiscalização - Renúncia",-0.02
9112201010100000002,Taxas pela Prestação de Serviços - Expediente,-1770.39
9112201010100000003,Taxas pela Prestação de Serviços - Expediente - Descontos Concedidos,-8.49
9112201010400000000,Taxa pela Prestação de Serviços de Resíduos Sólidos,-3495.27
9112201010400000001,Taxa pela Prestação de Serviços de Resíduos Sólidos - Renúncia,-1.00
9112201019900000001,Outras Taxas pela Prestação de Serviços - Renúncia,-96.94
9112201019900000003,Outras Taxas pela Prestação de Serviços - Descontos Concedidos,-154.74
9124150010000000001,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal - Renúncia,-0.03
9131102010000000002,"(D) Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos",-816.28
9131199010000000002,(D) Outras Receitas Imobiliárias - Principal,-1710.24
9132101010134000002,(D) Remuneração de Aplicações de Recursos Convênios União Outros,-220.54
9132101010135000002,(D) Remuneração de Aplicações de Recursos do SUAS/União,-1075.10
9132101010164000000,(D) Remuneração de Aplicações de Recursos Convênios Estado Outros,-2582.66
9132104010135000000,(D) 207 - RIO BRAVO ESTRATÉGICO IMA-B FI RENDA FIXA,-0.27
9132104010201000000,(D) RENDA VARIÁVEL - RESIDUAL BETHA,-20092574.05
9132104010204000000,(D) 509 - BTG PACTUAL ABSOLUTO INSTITUCIONAL FIC FIA,-76.22
9132104010228000000,(D) 591 - BANRISUL IT NOW IBOV CI - BOVV11,-1643.88
9161101010200000003,Serviços Agropecuários - Descontos Concedidos,-1995.94
9161101010300000002,"(D) Serviços de Captação, Adução, Tratamento, Reserva e Distribuição de Água",-6715.00
9161101019900000003,Outros Serviços Administrativos e Comerciais Gerais - Descontos Concedidos,-501.86
9161103010000000001,Serviços de Registro - Renúncia,-2.48
9169999019900000003,Outros Serviços - Descontos Concedidos,-12.50
9171151110000000000,Cota-parte do fundo de participação dos municípios - cota mensal - Principal,-14879843.59
9171152010000000000,Cota-parte do imposto sobre a propriedade territorial rural - Principal,-19918.00
9172150010000000000,Cota-parte do ICMS - Principal,-29975445.86
9172151010000000000,Cota-parte do IPVA - Principal,-3621212.47
9172152010000000000,Cota-parte do IPI - municípios - Principal,-333598.87
9199912210000000001,Ônus de Sucumbência - Principal - Renúncia,-22.31
9199999110000000001,Outras Receitas Administradas pela RFB - Principal - Renúncia,-0.01
9199999110000000003,Outras Receitas Administradas pela RFB - Principal - Descontos Concedidos,-3760.90
9199999120000000001,Outras Receitas Administradas pela RFB - Multas e Juros de Mora - Renúncia,-89.46
9199999120000000003,Outras Receitas Administradas pela RFB - Multas e Juros de Mora - Descontos Concedidos,-29.69
9199999130000000001,Outras Receitas Administradas pela RFB - Dívida Ativa - Renúncia,-5.03
9199999140000000001,Outras Receitas Administradas pela RFB - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Renúncia,-26.78
9199999140000000003,Outras Receitas Administradas pela RFB - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa - Descontos Concedidos,-197917.07
9242299010000000000,Outras transferências de convênios dos estados e df e de suas entidades - Principal,-100000.00
9761101010300000002,"(D) Receitas Intra-Orçamentárias/Serviços de Captação,Adução,Tratamento...",-1635.85
